tick_inicio,tick_fin,ticks_ventana,throughput_ventana,pedidos_completados_ventana,pedidos_completados_acumulados,pedidos_pendientes_cola,pedidos_en_proceso,p95_pedido_ventana,p95_pedido_acumulado,p95_espera_ventana,p95_espera_acumulado,eventos_congestion_ventana,deadlocks_acumulados,utilizacion_ventana,utilizacion_acumulada
18001,18500,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.6747883783783785
18501,19000,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.6570307894736842
19001,19500,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.6401838461538462
19501,20000,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.6241792500000001
20001,20500,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.6089553658536585
20501,21000,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.5944564285714286
21001,21500,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.5806318604651163
21501,22000,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.5674356818181818
22001,22500,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.554826
22501,23000,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.5427645652173912
23001,23500,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.5312163829787234
23501,24000,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.520149375
24001,24500,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.5095340816326531
24501,25000,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.49934339999999994
25001,25500,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.48955235294117644
25501,26000,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.4801378846153846
26001,26500,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.471078679245283
26501,27000,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.462355
27001,27500,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.4539485454545455
27501,28000,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.44584232142857144
28001,28500,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.43802052631578947
28501,29000,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.43046844827586206
29001,29500,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.42317237288135595
29501,30000,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.4161195000000001
30001,30500,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.40929786885245906
30501,31000,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.40269629032258064
31001,31500,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.39630428571428566
31501,32000,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.39011203124999994
32001,32500,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.38411030769230764
32501,33000,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.3782904545454545
33001,33500,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.372644328358209
33501,34000,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.3671642647058825
34001,34500,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.36184304347826085
34501,35000,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.35667385714285715
35001,35500,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.35165028169014084
35501,36000,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.34676625
36001,36500,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.3420160273972603
36501,37000,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.33739418918918923
