tick_inicio,tick_fin,ticks_ventana,throughput_ventana,pedidos_completados_ventana,pedidos_completados_acumulados,pedidos_pendientes_cola,pedidos_en_proceso,p95_pedido_ventana,p95_pedido_acumulado,p95_espera_ventana,p95_espera_acumulado,eventos_congestion_ventana,deadlocks_acumulados,utilizacion_ventana,utilizacion_acumulada
94001,94500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.2677752380952381
94501,95000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.26636589473684213
95001,95500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.26497130890052356
95501,96000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.26359125
96001,96500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.26222549222797925
96501,97000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.2608738144329897
97001,97500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.259536
97501,98000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.2582118367346939
98001,98500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.25690111675126903
98501,99000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.25560363636363637
99001,99500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.2543191959798995
99501,100000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.25304760000000004
100001,100500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.25178865671641787
100501,101000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.25054217821782176
101001,101500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.24930798029556653
101501,102000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.24808588235294116
102001,102500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.24687570731707317
102501,103000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.24567728155339807
103001,103500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.24449043478260868
103501,104000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.24331499999999998
104001,104500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.24215081339712918
104501,105000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.2409977142857143
105001,105500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.2398555450236967
105501,106000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.23872415094339622
106001,106500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.23760338028169012
106501,107000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.23649308411214953
107001,107500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.23539311627906975
107501,108000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.23430333333333334
108001,108500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.2332235944700461
108501,109000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.2321537614678899
109001,109500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.231093698630137
109501,110000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.23004327272727274
110001,110500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.2290023529411765
110501,111000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.22797081081081083
111001,111500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.22694852017937223
111501,112000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.22593535714285715
112001,112500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.2249312
112501,113000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.2239359292035398
113001,113500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.2229494273127753
113501,114000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.22197157894736844
114001,114500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.22100227074235806
114501,115000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.2200413913043478
